Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Odeyemi, C., Sekiyama, T.","56951261300; 55312398900","A Review of Climate Security Discussions in Japan",2022,"International Journal of Environmental Research and Public Health",19,"14", 8253,,,,,10.3390/ijerph19148253,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85133480444&partnerID=40&md5=c8c2bc5dfd0470459e9e6bbed8e42fe2",Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85133480444
"Milder, S.","36857401700","Re-Interpreting West Germany’s Ecological Revolution: Environmental Politics, Grassroots Activism, and Democracy in the Long 1970s",2022,"European History Quarterly",52,"3",,332,351,,,10.1177/02656914221103159,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85132330428&partnerID=40&md5=b1e2451730264d770eb0778391276d25",Editorial,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85132330428
"Stulík, O., Naxera, V.","57194228698; 55631672900","“ONE FLEW OVER THE STORK’S NEST”: NEO-PATRIMONIAL POPULISM OF CZECH PRIME MINISTER ANDREJ BABIŠ | """"LET NAD ŠTORKLJINIM GNEZDOM"""": NEOPATRIMONIALEN POPULIZEM ČEŠKEGA PREDSEDNIKA VLADE ANDREJA BABIŠA",2022,"Journal of Comparative Politics",15,"2",,39,55,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85132032911&partnerID=40&md5=b5062a0bdc145796ffbb9ef07b512de7",Article,Final,"",Scopus,2-s2.0-85132032911
"Sapio, F.","25655334100","The National Supervision Commission: A “Subaltern History”",2022,"Modern China",48,"4",,754,784,,,10.1177/00977004211049489,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85118330947&partnerID=40&md5=4785cd627c07a7a175bc467fd636d70d",Article,Final,"",Scopus,2-s2.0-85118330947
"Alberti, C., Diaz-Rioseco, D., Visconti, G.","57078143900; 15729230800; 57192412198","Gendered bureaucracies: Women mayors and the size and composition of local governments",2022,"Governance",35,"3",,757,776,,,10.1111/gove.12591,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105666149&partnerID=40&md5=4bfccb95f06dd2c2aeae5fb2c3c38ecc",Article,Final,"",Scopus,2-s2.0-85105666149
"Picciotto, S.","6603172145","Technocracy in the Era of Twitter: Between intergovernmentalism and supranational technocratic politics in global tax governance",2022,"Regulation and Governance",16,"3",,634,652,,4,10.1111/rego.12351,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089400740&partnerID=40&md5=cf887a968506cc323d06294d2f79e846",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85089400740
"Rizwan, A., Salman, Y., Naveed, S.","57656459800; 57200225071; 57214795367","Politics of governing NPM-led agencies in Pakistan: influence of contextual factors on agency autonomy and control",2022,"International Journal of Public Sector Management",35,"5",,568,583,,,10.1108/IJPSM-09-2021-0221,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85129139716&partnerID=40&md5=10c3b949b69ee18be7ce8c4544f24345",Article,Final,"",Scopus,2-s2.0-85129139716
"Lennon, J.","57189974360","Bureaucratizing Black Lives Matter murals: Racial capitalism, policing and erasure of radical politics",2022,"Journal of Urban Cultural Studies",9,"1",,89,110,,,10.1386/jucs_00050_1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85134952485&partnerID=40&md5=05c35444f30ed3039fa9934a22d6b860",Article,Final,"",Scopus,2-s2.0-85134952485
"Barber, M., Holbein, J.B.","56258309300; 56534068500","400 million voting records show profound racial and geographic disparities in voter turnout in the United States",2022,"PLoS ONE",17,"6 June", e0268134,,,,,10.1371/journal.pone.0268134,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85131771730&partnerID=40&md5=6934ddcca56c59e2ab004cc00c3bcb15",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85131771730
"Woldense, J.","57195068269","What Happens When Coups Fail? The Problem of Identifying and Weakening the Enemy Within",2022,"Comparative Political Studies",55,"7",,1236,1265,,1,10.1177/00104140211047402,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85123272062&partnerID=40&md5=44ba7f058146061e2cf9948ae04f2cd6",Article,Final,"",Scopus,2-s2.0-85123272062
"McKercher, P.B.","57369422100","The politics of tourism: The unsung role of trade associations in tourism policymaking",2022,"Tourism Management",90,"", 104475,,,,,10.1016/j.tourman.2021.104475,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85120939738&partnerID=40&md5=79559937cf4a0b7a1ef78e3a682b67ba",Article,Final,"",Scopus,2-s2.0-85120939738
"Sou, G.","57194157893","Aid micropolitics: Everyday southern resistance to racialized and geographical assumptions of expertise",2022,"Environment and Planning C: Politics and Space",40,"4",,876,894,,1,10.1177/23996544211048196,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85116588210&partnerID=40&md5=80d29c83e169d36ec3a6a9145cb28da5",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85116588210
"Ho, C.J.","57300895800","Benevolent Policies: Bureaucratic Politics and the International Dimensions of Social Policy Expansion",2022,"American Political Science Review",116,"2",,615,630,,1,10.1017/S0003055421000927,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85117363218&partnerID=40&md5=b67a2477cd4dc219f6da3c85d655993d",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85117363218
"Leon-Espinoza, D.","57607823900","The adoption of care policies in Costa Rica: A multiple streams approach",2022,"Latin American Policy",13,"1",,33,48,,,10.1111/lamp.12246,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85128613735&partnerID=40&md5=1b4bba6b81bb2a6c35b78714a4ded2d5",Article,Final,"",Scopus,2-s2.0-85128613735
"Huang, P.C.C.","24487547500","From Dualistic Opposition to Dyadic Integration: Toward a New Political Economy of Chinese Practice",2022,"Modern China",48,"3",,459,497,,,10.1177/00977004221082515,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85128401626&partnerID=40&md5=0ce34df5964c16a7cd479af0bbcc3b62",Article,Final,"",Scopus,2-s2.0-85128401626
"Sexton, R.","57191308888","The Unintended Effects of Bottom-Up Accountability: Evidence from a Field Experiment in Peru",2022,"Quarterly Journal of Political Science",17,"2",,223,257,,,10.1561/100.00020079,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85129329206&partnerID=40&md5=51bce5a6fee64fb0654c092f60165fb2",Article,Final,"",Scopus,2-s2.0-85129329206
"McCann, P.J.C., Shipan, C.R.","57653343500; 6602743627","How many major US laws delegate to federal agencies? (almost) all of them",2022,"Political Science Research and Methods",10,"2",,438,444,,2,10.1017/psrm.2021.32,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85111711054&partnerID=40&md5=ad2ad21a84c95de1d57d01b934f9bf35",Article,Final,"",Scopus,2-s2.0-85111711054
"Piper, J., Gomis, B., Lee, K.","57220212117; 57204695762; 55540777300","“Guided by Science and Evidence”? The Politics of Border Management in Canada's Response to the COVID-19 Pandemic",2022,"Frontiers in Political Science",4,"", 834223,,,,,10.3389/fpos.2022.834223,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85129234508&partnerID=40&md5=6cc8db3abc261e12181d7f4ba62a42ce",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85129234508
"Fernandes, I.F., Fernandes, G.A.D.A.L., Zimerman, A.","56992661800; 56937984400; 55377238300","For whom the bell tolls: Party mediation effects on economic voting in a large democratic federation",2022,"Politics and Policy",50,"2",,324,362,,1,10.1111/polp.12453,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85127402077&partnerID=40&md5=6337c52fa6768e9870fd0457273d859a",Article,Final,"",Scopus,2-s2.0-85127402077
"Antwi-Boateng, O., Al Jaberi, N.H.S.","26530701500; 57475677600","The post-oil strategy of the UAE: An examination of diversification strategies and challenges",2022,"Politics and Policy",50,"2",,380,407,,,10.1111/polp.12457,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85125657637&partnerID=40&md5=ade86e318e2f1f26d536ed25b67df0c5",Article,Final,"",Scopus,2-s2.0-85125657637
"Nowlin, M.C., Trochmann, M., Rabovsky, T.M.","37017316900; 57192009250; 36810450900","Advocacy coalitions and political control",2022,"Politics and Policy",50,"2",,201,224,,,10.1111/polp.12458,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85125102810&partnerID=40&md5=48b2f46a747f71a0a141f53ef8927d8f",Article,Final,"",Scopus,2-s2.0-85125102810
"Stoecker, A.","57396114500","Partisan alignment and political corruption: Evidence from a new democracy",2022,"World Development",152,"", 105805,,,,,10.1016/j.worlddev.2021.105805,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85122245497&partnerID=40&md5=f82e63018d7fc5e2ee3796d51e03a59b",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85122245497
"Darling, J.","35219624600","The politics of discretion: Authority and influence in asylum dispersal",2022,"Political Geography",94,"", 102560,,,,,10.1016/j.polgeo.2021.102560,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85121589903&partnerID=40&md5=362e32f6293d92c3a99f2bcabb8d1399",Article,Final,"",Scopus,2-s2.0-85121589903
"Chen, H., Greitens, S.C.","56562336400; 55638677500","Information capacity and social order: The local politics of information integration in China",2022,"Governance",35,"2",,497,523,,1,10.1111/gove.12592,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103407946&partnerID=40&md5=846145e6b3950cac7447cf0bd47a310f",Article,Final,"",Scopus,2-s2.0-85103407946
"Ali, S.A.M.","57215932279","Networks of Effectiveness? The Impact of Politicization on Bureaucratic Performance in Pakistan",2022,"European Journal of Development Research",34,"2",,733,753,,,10.1057/s41287-021-00388-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103043995&partnerID=40&md5=121f2dfb3f62aa0f70948cffc9c99eef",Article,Final,"",Scopus,2-s2.0-85103043995
"Panao, R.A.L., Pernia, R.A.","56192649300; 57196050623","Fear and Loathing or Strategic Priming? Unveiling the Audience in Duterte's Crime Rhetoric",2022,"Journal of East Asian Studies",22,"1",,77,98,,1,10.1017/jea.2022.1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85127120780&partnerID=40&md5=6ad6bc83499d676aceee1a205d15a3de",Article,Final,"",Scopus,2-s2.0-85127120780
"Tan, J.","57051882600","Political Cohesion and Fiscal Systems in the Roman Republic",2022,"Frontiers in Political Science",4,"", 803030,,,,,10.3389/fpos.2022.803030,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85127815677&partnerID=40&md5=fa0029e616c551db3a5b8733450ee5aa",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85127815677
"Culver, K.C., Harper, J., Kezar, A.","57190609867; 57401801500; 6603555003","Engaging Design Thinking in Professional Bureaucracies: Improving Equity for Non-Tenure Track Faculty in Higher Education",2022,"Journal of Higher Education Policy and Leadership Studies",3,"1",,68,89,,,10.52547/johepal.3.1.68,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85131649943&partnerID=40&md5=172e999daed1cc6b95fa8895f99903eb",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85131649943
"Silva, D.N.","57212429298","Papo Reto: The Politics of Enregisterment amid the Crossfire in Rio de Janeiro",2022,"Signs and Society",10,"2",,239,264,,1,10.1086/718862,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85131638336&partnerID=40&md5=ef170de31209f4f01020343db85157da",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85131638336
"Müller, P.","57581349200","Sovereignty Trade-Offs between Politics and the Economy: The Deconcentration of IG Farben after 1945",2022,"Central European History",55,"1",,53,69,,,10.1017/S000893892100176X,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85128448884&partnerID=40&md5=b0a55f4c14cda32e1e0b35cb5342b0dc",Article,Final,"",Scopus,2-s2.0-85128448884
"Duan, Z., So, B.W.A.I.Y.I.P.","57371469500; 55788454500","Responsiveness of Grassroots Level Civil Servants in China: A Comparison between Civil Servants Recruited from Regular Entrance Examinations and Specially Selected Graduates",2022,"Issues and Studies",58,"1", 2150020,,,,,10.1142/S101325112150020X,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85126455246&partnerID=40&md5=b0f03f58f007aeadde08dea906225f3a",Article,Final,"",Scopus,2-s2.0-85126455246
"Gui, F., Rothenberg, L.","57225946299; 7005621995","The Importance of Position: Agency Discretionary Budgets and PAS Appointments",2022,"Presidential Studies Quarterly",52,"1",,84,106,,,10.1111/psq.12770,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85123236944&partnerID=40&md5=3431194d0557d2e6e355b4a3f8492841",Article,Final,"",Scopus,2-s2.0-85123236944
"Rogowski, J., Simko, T.","55326498000; 57224893571","Presidential Patronage and Executive Branch Appointments, 1925–1959",2022,"Presidential Studies Quarterly",52,"1",,38,59,,1,10.1111/psq.12768,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85123082127&partnerID=40&md5=4052cfcd02afbbca373ce4bee23085e6",Article,Final,"",Scopus,2-s2.0-85123082127
"Hart, J.","56032067000","“Fruity” Smells, City Streets, and the Politics of Sanitation in Colonial Accra",2022,"Urban Forum",33,"1",,107,127,,,10.1007/s12132-021-09446-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85118361228&partnerID=40&md5=db4ebe14a8b92f0764953f1315d58212",Article,Final,"",Scopus,2-s2.0-85118361228
"Vélez-Torres, I., Gough, K., Larrea-Mejía, J., Piccolino, G., Ruette-Orihuela, K.","56009122600; 7006564249; 57296612100; 54892125200; 57188842549","“Fests of Vests”: The Politics of Participation in Neoliberal Peacebuilding in Colombia",2022,"Antipode",54,"2",,586,607,,2,10.1111/anti.12785,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85117108920&partnerID=40&md5=9decfef9853b84f460f2747b5c172b6e",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85117108920
"Makita, J.","57226137411","A study of the functions of political appointees from a comparative perspective",2022,"Asian Journal of Comparative Politics",7,"1",,146,161,,,10.1177/20578911211036943,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85115032856&partnerID=40&md5=74d9ae175ed99dc23d731b9af174d1ae",Article,Final,"",Scopus,2-s2.0-85115032856
"Sigman, R.","57202579547","Which Jobs for Which Boys? Party Finance and the Politics of State Job Distribution in Africa",2022,"Comparative Political Studies",55,"3",,351,385,,,10.1177/00104140211024291,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85109369661&partnerID=40&md5=720d404960d66ecfa0a0fe7a5fa27a4c",Article,Final,"",Scopus,2-s2.0-85109369661
"Kopas, J., Urpelainen, J., York, E.A.","57194247600; 34878180900; 57212812328","Greasing the Wheels: the Politics of Environmental Clearances in India",2022,"Studies in Comparative International Development",57,"1",,113,144,,,10.1007/s12116-021-09325-w,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85107800781&partnerID=40&md5=4e8d34829e062d16b0fde3b86e9668c4",Article,Final,"",Scopus,2-s2.0-85107800781
"Crawford, E.","57611927200","Who prefers nonpartisan elections? The role of individual party ID and county partisanship",2022,"Research and Politics",9,"1",,,,,,10.1177/20531680221083802,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85128166327&partnerID=40&md5=db6bc8f0b2516c994cc6dd439d7ab7ec",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85128166327
"Dahlström, C., Lapuente, V.","6602215883; 25925109700","Comparative Bureaucratic Politics",2022,"Annual Review of Political Science",25,"",,43,63,,,10.1146/annurev-polisci-051120-102543,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85130877654&partnerID=40&md5=07276e93e49428f5f7478324a8c1c214",Review,Final,"",Scopus,2-s2.0-85130877654
"Larasatie, P., Fitriastuti, T., Yovi, E.Y., Purnomo, H., Nurrochmat, D.R.","57204967863; 57225897619; 56021619600; 14023175900; 56403310100","COVID-19 Anxiety as a Moderator of the Relationship between Organizational Change and Perception of Organizational Politics in Forestry Public Sector",2022,"Forests",13,"2", 356,,,,1,10.3390/f13020356,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85125305450&partnerID=40&md5=090c852369560c4d08ebb551395f0e5d",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85125305450
"Moshel, S.","57205207965","The Historical Roots of Governance Deficits in Israeli Early Childhood Education and Care Services",2022,"Children and Youth Services Review",133,"", 106341,,,,,10.1016/j.childyouth.2021.106341,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85121990244&partnerID=40&md5=67b0cd4c5c932da2e7a4e1d1979d737c",Article,Final,"",Scopus,2-s2.0-85121990244
"Maryudi, A., Sahide, M.A.K., Daulay, M.H., Yuniati, D., Syafitri, W., Sadiyo, S., Fisher, M.R.","48461414700; 56426498600; 57225940086; 57213354864; 57205393289; 57357051700; 56430331600","Holding social forestry hostage in Indonesia: Contested bureaucracy mandates and potential escape pathways",2022,"Environmental Science and Policy",128,"",,142,153,,1,10.1016/j.envsci.2021.11.013,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85120179823&partnerID=40&md5=d97eeb57413e9c132306fd453861aa1d",Article,Final,"",Scopus,2-s2.0-85120179823
"Zang, X.","7005972122","Environmental accidents and environmental legislation in China: Evidence from provincial panel data (1997–2014)",2022,"Politics and Policy",50,"1",,77,92,,1,10.1111/polp.12446,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85119519946&partnerID=40&md5=ac8a353358c98f649a49396a270a5487",Article,Final,"",Scopus,2-s2.0-85119519946
"Trebilcock, M.","6602086010","The Good Governance Quandary: The Elusive Search for Role Models",2022,"Law and Development Review",15,"1",,105,120,,,10.1515/ldr-2021-0115,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85118488177&partnerID=40&md5=815de2dd6c9e1aac28ed897ef1b30ead",Article,Final,"",Scopus,2-s2.0-85118488177
"Delcea, S.","57290723700","A nation of bureaucrats or a nation of workers? Welfare benefits as nation-building modernization tools in interwar Romania",2022,"Journal of European Social Policy",32,"1",,75,90,,,10.1177/09589287211035700,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85116723714&partnerID=40&md5=1486af4dcb6f8278ed07a86f3ef7bb2e",Article,Final,"",Scopus,2-s2.0-85116723714
"Heinzel, M.","57216542227","Mediating power? Delegation, pooling and leadership selection at international organisations",2022,"British Journal of Politics and International Relations",24,"1",,153,170,,,10.1177/1369148121992761,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102740007&partnerID=40&md5=cd60b7017b9fb16a214304d40a9396bb",Article,Final,"",Scopus,2-s2.0-85102740007
"Koop, C., Reh, C., Bressanelli, E.","23019179800; 22951987600; 55185251100","Agenda-setting under pressure: Does domestic politics influence the European Commission?",2022,"European Journal of Political Research",61,"1",,46,66,,5,10.1111/1475-6765.12438,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101924163&partnerID=40&md5=1655d959888630a962983109db32bd41",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85101924163
"Kroeger, M.A.","57202387626","Bureaucrats as Lawmakers",2022,"Legislative Studies Quarterly",47,"1",,257,289,,,10.1111/lsq.12320,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85097273883&partnerID=40&md5=740e7209e930a074ec8a012f27fce882",Article,Final,"",Scopus,2-s2.0-85097273883
"Goswami, G.G., Panthamit, N.","7005721897; 14523155600","Does political risk lower bilateral trade flow? A gravity panel framework for Thailand vis-à-vis her trading partners",2022,"International Journal of Emerging Markets",17,"2",,600,620,,4,10.1108/IJOEM-07-2020-0755,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85094867555&partnerID=40&md5=33efce6fee3d1f363c80e0cb282f654e",Article,Final,"",Scopus,2-s2.0-85094867555
"Hasibuan, O.P., Tjakraatmadja, J.H., Sunitiyoso, Y.","57218692487; 55437078200; 35333076400","Illegal gold mining in Indonesia: structure and causes",2022,"International Journal of Emerging Markets",17,"1",,177,197,,2,10.1108/IJOEM-11-2019-0964,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85090063622&partnerID=40&md5=c3db0d8362d7251df104b73d1dc6242c",Article,Final,"",Scopus,2-s2.0-85090063622
"da Costa, L.S.G.M.","57455993300","HPTD-M for Public Management Sustainability: A Proposal for Brazil",2022,"Transdisciplinary Journal of Engineering and Science",13,"",,37,57,,,10.22545/2022/00197,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85134774922&partnerID=40&md5=ae9e5fa3d2d3f09a1056bcd5e01214ad",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85134774922
"Fiorucci, F.","26034209700","Politics, Gender and Training: Criticisms to Normal Schools in its Period of Expansion (1884-1920) | Política, género y formación: las críticas al normalismo en su período de expansión (1884-1920)",2022,"Boletin del Instituto de Historia Argentina y Americana 'Dr. Emilio Ravignani'",2022,"56",,1,31,,,10.34096/bol.rav.n56.10876,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85136295422&partnerID=40&md5=d96b254501819f1ca99154df3f46d6e1",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85136295422
"Teo, M.","57221781350","Constitutional civil-military dynamics in Southeast Asia",2022,"International Journal of Constitutional Law",20,"1",,237,271,,,10.1093/icon/moac007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85136227246&partnerID=40&md5=a91cedb8f7a27ac752eee0c452b8230e",Article,Final,"",Scopus,2-s2.0-85136227246
"Ansell, C., Sørensen, E., Torfing, J.","7003649878; 7101709059; 55897898500","Public administration and politics meet turbulence: The search for robust governance responses",2022,"Public Administration",,"",,,,,,10.1111/padm.12874,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85136218372&partnerID=40&md5=eb9b8ebfed6aa390a3697b54cc0557f9",Article,Article in Press,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85136218372
"Ezenwaka, U., Abimbola, S., Onwujekwe, O.","57211752148; 16400607600; 7003992855","How (not) to promote sub-national ownership of national initiatives in decentralised health systems: The free maternal and child health programme in Nigeria, 2008–2015",2022,"International Journal of Health Planning and Management",,"",,,,,,10.1002/hpm.3548,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85136169111&partnerID=40&md5=9f72cd8b849e9bd43e166862f21b0fa1",Article,Article in Press,"",Scopus,2-s2.0-85136169111
"Burnyeat, G.","55968151100","‘We were not emotional enough’: Cultural liberalism and social contract imaginaries in the Colombian peace process",2022,"Critique of Anthropology",,"",,,,,,10.1177/0308275X221120166,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85135830528&partnerID=40&md5=c4e9868ae332393e4ec514c009a808aa",Article,Article in Press,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85135830528
